flood_scenario,region,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,stress_priority_signal
Medium,Indramayu,Middlemen,16,0.625,0.375,-23106954.172592573,1.2506028637037037,-0.08748075104669877,Already Failed,High Vulnerability,High
Medium,Indramayu,Retail,16,1.0,0.0,-3851024.9999999995,2.4316749999999994,-1.1145,Already Failed,High Vulnerability,Severe
Medium,Indramayu,Rice Miller,17,0.5294117647058824,0.47058823529411764,-5237000.122319013,1.0275959923181543,0.10643826754943103,Fails Under Scenario,Low Vulnerability,High
Medium,Indramayu,Wholesaler,16,0.125,0.875,77275000.00000012,0.9512184343434342,0.17285353535353537,Survives Scenario,Low Vulnerability,Manageable
Medium,Karawang,Farmer,53,0.09433962264150944,0.9056603773584906,38711500.0,0.5547058823529412,0.5176470588235295,Survives Scenario,Low Vulnerability,Manageable
Medium,Karawang,Middlemen,14,1.0,0.0,-8184999.999999998,1.1704589646464645,-0.017790404040404044,Fails Under Scenario,Medium Vulnerability,Severe
Medium,Karawang,Retail,16,1.0,0.0,-3958374.9999999995,2.326833333333333,-1.0233333333333334,Already Failed,High Vulnerability,Severe
Medium,Karawang,Rice Miller,14,1.0,0.0,-18321895.405982904,1.224063192112527,-0.06440277575002354,Already Failed,High Vulnerability,Severe
Medium,Karawang,Wholesaler,14,0.7857142857142857,0.21428571428571427,-31322499.99999997,1.1707326030927834,-0.01802835051546392,Already Failed,High Vulnerability,Severe
Medium,Subang,Farmer,77,0.11688311688311688,0.8831168831168831,10327625.0,0.5848737373737374,0.4914141414141414,Survives Scenario,Low Vulnerability,Manageable
Medium,Subang,Middlemen,21,0.5714285714285714,0.42857142857142855,-7614999.999999993,1.0607592281879192,0.0776006711409396,Already Failed,High Vulnerability,High
Medium,Subang,Retail,19,1.0,0.0,-3324999.999999999,1.9933333333333334,-0.7333333333333333,Already Failed,High Vulnerability,Severe
Medium,Subang,Rice Miller,21,0.19047619047619047,0.8095238095238095,47237714.62706944,0.8654531962746532,0.24743200323943196,Survives Scenario,Low Vulnerability,Manageable
Medium,Subang,Wholesaler,21,0.14285714285714285,0.8571428571428571,52380000.00000001,0.716255707762557,0.3771689497716895,Survives Scenario,Low Vulnerability,Manageable
Medium,Tasikmalaya,Farmer,110,0.045454545454545456,0.9545454545454546,6344275.0,0.48342592592592587,0.5796296296296296,Survives Scenario,Low Vulnerability,Manageable
Medium,Tasikmalaya,Middlemen,29,1.0,0.0,-13813500.0,1.4904987373737373,-0.29608585858585856,Already Failed,High Vulnerability,Severe
Medium,Tasikmalaya,Retail,28,1.0,0.0,-3961812.499999999,2.3206041666666666,-1.0179166666666668,Already Failed,High Vulnerability,Severe
