actor,region,region_key,dmu,predicted_vulnerability_label,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,base_cost,base_revenue,base_margin,base_cost_revenue_ratio,cost_shock_tolerance,revenue_drop_tolerance,combined_break_even_buffer,break_even_resilience_label
Farmer,Garut,GARUT,94,Low Vulnerability,0.3949554339103519,Medium,multi-year,13780000.0,48150000.0,34370000.0,0.2861889927310488,2.4941944847605226,0.7138110072689512,0.7138110072689512,Resilient
Farmer,Garut,GARUT,95,Low Vulnerability,0.3949554339103519,Medium,multi-year,5534000.0,17550000.0,12016000.0,0.3153276353276353,2.171304662088905,0.6846723646723647,0.6846723646723647,Resilient
Farmer,Garut,GARUT,96,Low Vulnerability,0.3949554339103519,Medium,multi-year,3360000.0,9300000.0,5940000.0,0.36129032258064514,1.7678571428571428,0.6387096774193548,0.6387096774193548,Resilient
Farmer,Garut,GARUT,97,Low Vulnerability,0.3949554339103519,Medium,multi-year,3360000.0,9300000.0,5940000.0,0.36129032258064514,1.7678571428571428,0.6387096774193548,0.6387096774193548,Resilient
Farmer,Garut,GARUT,98,Medium Vulnerability,0.3949554339103519,Medium,multi-year,8310000.0,9400000.0,1090000.0,0.8840425531914894,0.13116726835138387,0.11595744680851064,0.11595744680851064,Fragile
Farmer,Indramayu,INDRAMAYU,1,Low Vulnerability,0.0559353146853146,Low,multi-year,8720000.0,25650000.0,16930000.0,0.3399610136452242,1.94151376146789,0.6600389863547759,0.6600389863547759,Resilient
Farmer,Indramayu,INDRAMAYU,2,Low Vulnerability,0.0559353146853146,Low,multi-year,6170000.0,10400000.0,4230000.0,0.5932692307692308,0.6855753646677472,0.40673076923076923,0.40673076923076923,Resilient
Farmer,Indramayu,INDRAMAYU,3,Low Vulnerability,0.0559353146853146,Low,multi-year,37230000.0,62400000.0,25170000.0,0.5966346153846154,0.6760676873489122,0.4033653846153846,0.4033653846153846,Resilient
Farmer,Indramayu,INDRAMAYU,4,Low Vulnerability,0.0559353146853146,Low,multi-year,1287400.0,1860000.0,572600.0,0.6921505376344086,0.44477240950753455,0.3078494623655914,0.3078494623655914,Resilient
Farmer,Indramayu,INDRAMAYU,5,Low Vulnerability,0.0559353146853146,Low,multi-year,7910000.0,25650000.0,17740000.0,0.30838206627680315,2.242730720606827,0.6916179337231969,0.6916179337231969,Resilient
Farmer,Indramayu,INDRAMAYU,6,Low Vulnerability,0.0559353146853146,Low,multi-year,56790000.0,86800000.0,30010000.0,0.6542626728110599,0.5284381053002289,0.34573732718894007,0.34573732718894007,Resilient
Farmer,Indramayu,INDRAMAYU,7,Low Vulnerability,0.0559353146853146,Low,multi-year,7550000.0,13050000.0,5500000.0,0.578544061302682,0.7284768211920529,0.421455938697318,0.421455938697318,Resilient
Farmer,Indramayu,INDRAMAYU,8,High Vulnerability,0.0559353146853146,Low,multi-year,6470000.0,6550000.0,80000.0,0.9877862595419847,0.012364760432766615,0.012213740458015267,0.012213740458015267,Very Fragile
Farmer,Indramayu,INDRAMAYU,9,Low Vulnerability,0.0559353146853146,Low,multi-year,14910000.0,25650000.0,10740000.0,0.5812865497076023,0.7203219315895373,0.41871345029239765,0.41871345029239765,Resilient
Farmer,Indramayu,INDRAMAYU,10,Low Vulnerability,0.0559353146853146,Low,multi-year,45690000.0,66150000.0,20460000.0,0.690702947845805,0.4478003939592909,0.309297052154195,0.309297052154195,Resilient
Farmer,Indramayu,INDRAMAYU,11,Low Vulnerability,0.0559353146853146,Low,multi-year,44790000.0,133650000.0,88860000.0,0.3351290684624018,1.9839249832551908,0.6648709315375982,0.6648709315375982,Resilient
Farmer,Indramayu,INDRAMAYU,12,Low Vulnerability,0.0559353146853146,Low,multi-year,30110000.0,41400000.0,11290000.0,0.7272946859903382,0.37495848555297245,0.27270531400966186,0.27270531400966186,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,13,Low Vulnerability,0.0559353146853146,Low,multi-year,4677000.0,12250000.0,7573000.0,0.38179591836734694,1.6192003420996366,0.6182040816326531,0.6182040816326531,Resilient
Farmer,Indramayu,INDRAMAYU,14,High Vulnerability,0.0559353146853146,Low,multi-year,3794800.0,2100000.0,-1694800.0,1.807047619047619,-0.4466111521028776,-0.807047619047619,-0.807047619047619,Already Failed
Farmer,Indramayu,INDRAMAYU,15,Low Vulnerability,0.0559353146853146,Low,multi-year,29760000.0,59400000.0,29640000.0,0.501010101010101,0.9959677419354839,0.498989898989899,0.498989898989899,Resilient
Farmer,Indramayu,INDRAMAYU,16,Low Vulnerability,0.0559353146853146,Low,multi-year,16770000.0,49500000.0,32730000.0,0.3387878787878788,1.9516994633273703,0.6612121212121213,0.6612121212121213,Resilient
Farmer,Indramayu,INDRAMAYU,17,Low Vulnerability,0.0559353146853146,Low,multi-year,27490000.0,91200000.0,63710000.0,0.30142543859649124,2.317570025463805,0.6985745614035088,0.6985745614035088,Resilient
Farmer,Indramayu,INDRAMAYU,18,Low Vulnerability,0.0559353146853146,Low,multi-year,40283000.0,84150000.0,43867000.0,0.47870469399881166,1.0889705334756596,0.5212953060011883,0.5212953060011883,Resilient
Farmer,Indramayu,INDRAMAYU,19,Low Vulnerability,0.0559353146853146,Low,multi-year,26360000.0,131600000.0,105240000.0,0.20030395136778115,3.9924127465857357,0.7996960486322189,0.7996960486322189,Resilient
Farmer,Indramayu,INDRAMAYU,20,Low Vulnerability,0.0559353146853146,Low,multi-year,33470000.0,39600000.0,6130000.0,0.8452020202020202,0.18314908873618166,0.1547979797979798,0.1547979797979798,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,21,Low Vulnerability,0.0559353146853146,Low,multi-year,24080000.0,65000000.0,40920000.0,0.37046153846153845,1.6993355481727574,0.6295384615384615,0.6295384615384615,Resilient
Farmer,Indramayu,INDRAMAYU,22,Low Vulnerability,0.0559353146853146,Low,multi-year,33890000.0,41600000.0,7710000.0,0.8146634615384616,0.22750073768073178,0.18533653846153847,0.18533653846153847,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,23,High Vulnerability,0.0559353146853146,Low,multi-year,3331800.0,2100000.0,-1231800.0,1.5865714285714285,-0.3697100666306501,-0.5865714285714285,-0.5865714285714285,Already Failed
Farmer,Indramayu,INDRAMAYU,24,High Vulnerability,0.0559353146853146,Low,multi-year,2972000.0,2100000.0,-872000.0,1.4152380952380952,-0.2934051144010767,-0.41523809523809524,-0.41523809523809524,Already Failed
Farmer,Indramayu,INDRAMAYU,25,High Vulnerability,0.0559353146853146,Low,multi-year,33090000.0,32850000.0,-240000.0,1.0073059360730594,-0.007252946509519492,-0.0073059360730593605,-0.0073059360730593605,Already Failed
Farmer,Indramayu,INDRAMAYU,26,Low Vulnerability,0.0559353146853146,Low,multi-year,36840000.0,66150000.0,29310000.0,0.5569160997732426,0.7956026058631922,0.44308390022675737,0.44308390022675737,Resilient
Farmer,Indramayu,INDRAMAYU,27,Low Vulnerability,0.0559353146853146,Low,multi-year,26290000.0,32850000.0,6560000.0,0.8003044140030442,0.2495245340433625,0.19969558599695586,0.19969558599695586,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,28,Low Vulnerability,0.0559353146853146,Low,multi-year,47610000.0,186300000.0,138690000.0,0.25555555555555554,2.9130434782608696,0.7444444444444445,0.7444444444444445,Resilient
Farmer,Indramayu,INDRAMAYU,29,Low Vulnerability,0.0559353146853146,Low,multi-year,6182000.0,18600000.0,12418000.0,0.33236559139784944,2.0087350372047883,0.6676344086021505,0.6676344086021505,Resilient
Farmer,Indramayu,INDRAMAYU,30,High Vulnerability,0.0559353146853146,Low,multi-year,5802500.0,2100000.0,-3702500.0,2.763095238095238,-0.6380870314519603,-1.763095238095238,-1.763095238095238,Already Failed
Farmer,Indramayu,INDRAMAYU,31,Low Vulnerability,0.0559353146853146,Low,multi-year,42490000.0,133650000.0,91160000.0,0.31791994014216235,2.145445987291127,0.6820800598578376,0.6820800598578376,Resilient
Farmer,Indramayu,INDRAMAYU,32,Low Vulnerability,0.0559353146853146,Low,multi-year,9707800.0,29700000.0,19992200.0,0.32686195286195285,2.0593955376089332,0.6731380471380471,0.6731380471380471,Resilient
Farmer,Indramayu,INDRAMAYU,33,Low Vulnerability,0.0559353146853146,Low,multi-year,23990000.0,53000000.0,29010000.0,0.45264150943396225,1.2092538557732389,0.5473584905660377,0.5473584905660377,Resilient
Farmer,Indramayu,INDRAMAYU,34,Low Vulnerability,0.0559353146853146,Low,multi-year,27350000.0,62400000.0,35050000.0,0.43830128205128205,1.2815356489945156,0.561698717948718,0.561698717948718,Resilient
Farmer,Indramayu,INDRAMAYU,35,Low Vulnerability,0.0559353146853146,Low,multi-year,9410000.0,25650000.0,16240000.0,0.36686159844054583,1.7258235919234857,0.6331384015594542,0.6331384015594542,Resilient
Farmer,Indramayu,INDRAMAYU,36,Low Vulnerability,0.0559353146853146,Low,multi-year,76390000.0,114400000.0,38010000.0,0.6677447552447553,0.4975782170441157,0.33225524475524476,0.33225524475524476,Resilient
Farmer,Indramayu,INDRAMAYU,37,Low Vulnerability,0.0559353146853146,Low,multi-year,44381980.0,79800000.0,35418020.0,0.5561651629072681,0.7980270370992912,0.4438348370927318,0.4438348370927318,Resilient
Farmer,Indramayu,INDRAMAYU,38,Low Vulnerability,0.0559353146853146,Low,multi-year,3820000.0,9900000.0,6080000.0,0.38585858585858585,1.5916230366492146,0.6141414141414141,0.6141414141414141,Resilient
Farmer,Indramayu,INDRAMAYU,39,Medium Vulnerability,0.0559353146853146,Low,multi-year,56262000.0,59400000.0,3138000.0,0.9471717171717172,0.055774768049482774,0.05282828282828283,0.05282828282828283,Fragile
Farmer,Indramayu,INDRAMAYU,40,Low Vulnerability,0.0559353146853146,Low,multi-year,4770000.0,11000000.0,6230000.0,0.43363636363636365,1.3060796645702306,0.5663636363636364,0.5663636363636364,Resilient
Farmer,Indramayu,INDRAMAYU,41,Low Vulnerability,0.0559353146853146,Low,multi-year,48254000.0,128700000.0,80446000.0,0.3749339549339549,1.6671364031997347,0.625066045066045,0.625066045066045,Resilient
Farmer,Indramayu,INDRAMAYU,42,Low Vulnerability,0.0559353146853146,Low,multi-year,41790000.0,61650000.0,19860000.0,0.6778588807785888,0.4752333094041637,0.3221411192214112,0.3221411192214112,Resilient
Farmer,Indramayu,INDRAMAYU,43,Low Vulnerability,0.0559353146853146,Low,multi-year,48568000.0,66060000.0,17492000.0,0.7352104147744475,0.360154834458903,0.2647895852255525,0.2647895852255525,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,44,Low Vulnerability,0.0559353146853146,Low,multi-year,49110000.0,83750000.0,34640000.0,0.5863880597014925,0.7053553247811036,0.41361194029850745,0.41361194029850745,Resilient
Farmer,Indramayu,INDRAMAYU,45,Low Vulnerability,0.0559353146853146,Low,multi-year,59630000.0,101020000.0,41390000.0,0.590279152643041,0.6941137011571357,0.409720847356959,0.409720847356959,Resilient
Farmer,Indramayu,INDRAMAYU,46,Low Vulnerability,0.0559353146853146,Low,multi-year,30460000.0,94050000.0,63590000.0,0.3238702817650186,2.087655942219304,0.6761297182349814,0.6761297182349814,Resilient
Farmer,Indramayu,INDRAMAYU,47,Low Vulnerability,0.0559353146853146,Low,multi-year,56262000.0,112050000.0,55788000.0,0.5021151271753681,0.9915751306387971,0.49788487282463184,0.49788487282463184,Resilient
Farmer,Indramayu,INDRAMAYU,48,Low Vulnerability,0.0559353146853146,Low,multi-year,32200000.0,44550000.0,12350000.0,0.7227833894500562,0.38354037267080743,0.2772166105499439,0.2772166105499439,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,49,Low Vulnerability,0.0559353146853146,Low,multi-year,32400000.0,45800000.0,13400000.0,0.7074235807860262,0.41358024691358025,0.2925764192139738,0.2925764192139738,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,50,Low Vulnerability,0.0559353146853146,Low,multi-year,88130000.0,161600000.0,73470000.0,0.5453589108910891,0.8336548280948599,0.4546410891089109,0.4546410891089109,Resilient
Farmer,Indramayu,INDRAMAYU,51,Low Vulnerability,0.0559353146853146,Low,multi-year,43790000.0,77590000.0,33800000.0,0.564376852687202,0.7718657227677552,0.43562314731279805,0.43562314731279805,Resilient
Farmer,Indramayu,INDRAMAYU,52,Low Vulnerability,0.0559353146853146,Low,multi-year,72430000.0,101000000.0,28570000.0,0.7171287128712871,0.39444981361314374,0.28287128712871284,0.28287128712871284,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,53,Low Vulnerability,0.0559353146853146,Low,multi-year,21840000.0,35350000.0,13510000.0,0.6178217821782178,0.6185897435897436,0.3821782178217822,0.3821782178217822,Resilient
Farmer,Indramayu,INDRAMAYU,54,Low Vulnerability,0.0559353146853146,Low,multi-year,18110000.0,51300000.0,33190000.0,0.3530214424951267,1.8326891220320265,0.6469785575048733,0.6469785575048733,Resilient
Farmer,Indramayu,INDRAMAYU,55,Low Vulnerability,0.0559353146853146,Low,multi-year,19890000.0,29020000.0,9130000.0,0.6853893866299104,0.4590246354952237,0.3146106133700896,0.3146106133700896,Resilient
Farmer,Indramayu,INDRAMAYU,56,Low Vulnerability,0.0559353146853146,Low,multi-year,26070000.0,32400000.0,6330000.0,0.8046296296296296,0.2428078250863061,0.19537037037037036,0.19537037037037036,Moderate Buffer
Farmer,Indramayu,INDRAMAYU,57,Low Vulnerability,0.0559353146853146,Low,multi-year,6422000.0,16200000.0,9778000.0,0.39641975308641975,1.52257863593896,0.6035802469135803,0.6035802469135803,Resilient
Farmer,Indramayu,INDRAMAYU,58,Low Vulnerability,0.0559353146853146,Low,multi-year,25270000.0,42240000.0,16970000.0,0.5982481060606061,0.6715472892758211,0.4017518939393939,0.4017518939393939,Resilient
Farmer,Indramayu,INDRAMAYU,59,Low Vulnerability,0.0559353146853146,Low,multi-year,33870000.0,62440000.0,28570000.0,0.5424407431133889,0.8435193386477708,0.45755925688661114,0.45755925688661114,Resilient
Farmer,Indramayu,INDRAMAYU,60,Low Vulnerability,0.0559353146853146,Low,multi-year,22090000.0,66150000.0,44060000.0,0.33393801965230535,1.9945676776822092,0.6660619803476946,0.6660619803476946,Resilient
Farmer,Indramayu,INDRAMAYU,61,Low Vulnerability,0.0559353146853146,Low,multi-year,3654168.341708544,12720000.0,9065831.658291455,0.2872773853544453,2.4809562150748183,0.7127226146455546,0.7127226146455546,Resilient
Farmer,Indramayu,INDRAMAYU,62,Low Vulnerability,0.0559353146853146,Low,multi-year,18710000.0,33180000.0,14470000.0,0.5638939119951778,0.7733832175307322,0.4361060880048222,0.4361060880048222,Resilient
Farmer,Karawang,KARAWANG,1,Low Vulnerability,1.0,High,multi-year,29350000.0,39600000.0,10250000.0,0.7411616161616161,0.3492333901192504,0.2588383838383838,0.2588383838383838,Moderate Buffer
Farmer,Karawang,KARAWANG,2,Low Vulnerability,1.0,High,multi-year,47800000.0,133650000.0,85850000.0,0.3576505798728021,1.7960251046025104,0.6423494201271979,0.6423494201271979,Resilient
Farmer,Karawang,KARAWANG,3,Low Vulnerability,1.0,High,multi-year,39600000.0,61200000.0,21600000.0,0.6470588235294118,0.5454545454545454,0.35294117647058826,0.35294117647058826,Resilient
Farmer,Karawang,KARAWANG,4,Low Vulnerability,1.0,High,multi-year,21350000.0,30600000.0,9250000.0,0.6977124183006536,0.4332552693208431,0.3022875816993464,0.3022875816993464,Resilient
Farmer,Karawang,KARAWANG,5,Low Vulnerability,1.0,High,multi-year,74990000.0,267300000.0,192310000.0,0.280546202768425,2.564475263368449,0.719453797231575,0.719453797231575,Resilient
Farmer,Karawang,KARAWANG,6,Low Vulnerability,1.0,High,multi-year,40890000.0,81600000.0,40710000.0,0.5011029411764706,0.9955979457079971,0.4988970588235294,0.4988970588235294,Resilient
