actor,region,region_key,dmu,predicted_vulnerability_label,base_cost,base_revenue,base_margin,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,flood_scenario,flood_probability_reference,monte_carlo_n_simulations,exposure_stress_modifier,failure_probability,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,expected_stressed_cost_revenue_ratio,cost_shock_min,cost_shock_mode,cost_shock_max,revenue_shock_min,revenue_shock_mode,revenue_shock_max,monte_carlo_risk_label
Farmer,Garut,GARUT,43,Low Vulnerability,6309000.0,16200000.0,9891000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,9051312.651693454,8797362.319903584,9054217.078990122,9325976.907790624,0.42310860671243067,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,44,Low Vulnerability,21882000.0,28800000.0,6918000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,4889917.221196894,4233650.545800195,4905234.6056407485,5488311.57825624,0.824783156462946,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,45,Medium Vulnerability,16980000.0,18600000.0,1620000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.281,147714.01772447606,-290704.4799766671,143154.33284810558,579274.6624011132,0.9918710806270442,0.02,0.05,0.08,0.01,0.03,0.05,Moderate Failure Probability
Farmer,Garut,GARUT,46,Low Vulnerability,8244000.0,9900000.0,1656000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,919565.8902564342,699189.2213345136,920691.9919388704,1136580.4110880215,0.9042037507700111,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,47,High Vulnerability,29745000.0,24750000.0,-4995000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-7321584.3734666435,-8027116.706408525,-7310121.931289716,-6627188.844615511,1.3054520886962198,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,48,Low Vulnerability,5783200.0,14850000.0,9066800.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,8304871.858702993,8079919.587683523,8297086.357085303,8558096.937332535,0.4226513916674897,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,49,Low Vulnerability,2135000.0,6550000.0,4415000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,4097501.53848292,3994356.4228934324,4096320.970412464,4202129.671031728,0.35417846656850227,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,50,Low Vulnerability,13178000.0,36450000.0,23272000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,21464782.96389626,20854617.452576317,21461921.00482099,22024519.955479693,0.39246720652060096,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,51,High Vulnerability,2354200.0,2100000.0,-254200.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-441344.2262017239,-495176.24082988815,-440914.95710998937,-387320.3080448095,1.2170122226621911,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,52,Low Vulnerability,3440000.0,19800000.0,16360000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,15560417.279308952,15283311.592880048,15558565.981226742,15847421.960827228,0.1887453424011577,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,53,Low Vulnerability,3440000.0,19800000.0,16360000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,15553151.033423247,15257986.102200942,15551778.590845004,15857895.930859607,0.18875180307056502,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,54,Low Vulnerability,3440000.0,19800000.0,16360000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,15564253.582011336,15290740.769256543,15564669.851872485,15827380.358016247,0.18864132873609246,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,55,Low Vulnerability,3360000.0,9300000.0,5940000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5479885.458767254,5331582.773584799,5478008.468597337,5634969.6907300055,0.392065313193307,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,56,Low Vulnerability,9840000.0,29700000.0,19860000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,18427152.555310823,17956396.339859657,18438070.660149377,18865833.41522492,0.3597061923383894,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,57,Low Vulnerability,5578000.0,16875000.0,11297000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,10482921.757423038,10206543.686852915,10479151.836102622,10755436.19958744,0.3588806394308151,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,58,Low Vulnerability,10428000.0,29700000.0,19272000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,17801385.93237162,17317803.789755356,17796875.339943357,18290062.042264614,0.38128605839937474,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,59,Low Vulnerability,8271000.0,48300000.0,40029000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,38064733.22315328,37374676.35865637,38061653.84615216,38747768.38722472,0.18610416879848324,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,60,Low Vulnerability,3289000.0,9400000.0,6111000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5646265.10392684,5491543.872631683,5643537.344142984,5808147.7999885455,0.3800717848154619,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,61,Low Vulnerability,3289000.0,9400000.0,6111000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5644408.830504782,5498047.258868053,5644002.717330035,5793278.143522504,0.3801084168392385,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,62,Low Vulnerability,3269000.0,9900000.0,6631000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,6145654.845381018,5998528.997198579,6142333.12113528,6294752.213425354,0.35877910302716537,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,63,Low Vulnerability,5824000.0,17550000.0,11726000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,10866696.818137588,10598300.63787174,10865842.251387563,11135800.210979626,0.3606153688577931,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,64,Low Vulnerability,4593000.0,13950000.0,9357000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,8682077.225125644,8470775.199812353,8680925.391208459,8900104.637816306,0.3575328998833993,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,65,Low Vulnerability,3502000.0,8100000.0,4598000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,4160939.79572519,4027947.2759430185,4159159.1110456064,4296225.095942883,0.46980503644003374,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,66,Low Vulnerability,4586000.0,9900000.0,5314000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,4765779.637989908,4595636.756074804,4765533.669850932,4930529.556914795,0.5032533981886741,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,67,Low Vulnerability,7609000.0,24750000.0,17141000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,15981494.896196948,15617067.862532966,15978484.372581612,16375007.524187926,0.3337709571324902,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,68,Low Vulnerability,5318000.0,16875000.0,11557000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,10763360.032866364,10506637.437892068,10764079.246194461,11018886.518858152,0.3418048375569718,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,69,High Vulnerability,15908000.0,13640000.0,-2268000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,1.0,-3508938.227763145,-3893511.0252007497,-3508048.012062678,-3143925.5344580207,1.265607406614864,0.02,0.05,0.08,0.01,0.03,0.05,Critical Failure Probability
Farmer,Garut,GARUT,70,Low Vulnerability,8010000.0,25650000.0,17640000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,16430827.364761818,16021384.08981796,16444278.844677825,16830787.86417533,0.3391077652069731,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
