region,actor,flood_scenario,lhs_enhanced_priority_score,lhs_mean_failure_probability,historical_flood_exposure_score,removed_component,removed_component_label,ablated_priority_score,score_change,absolute_score_change,full_rank,ablated_rank,rank_shift
Tasikmalaya,Rice Miller,Low,0.4860077491991708,0.5047413793103448,0.0065573770491803,lhs_component_flood,Flood scenario,0.53689922115445,0.05089147195527921,0.05089147195527921,53.0,45.0,-8.0
Indramayu,Wholesaler,Medium,0.4724815523018648,0.57421875,0.0559353146853146,lhs_component_flood,Flood scenario,0.4077531808469307,-0.0647283714549341,0.0647283714549341,54.0,51.0,-3.0
Subang,Rice Miller,Medium,0.4610872843003989,0.3953571428571428,0.3641466525278,lhs_component_flood,Flood scenario,0.392560823511643,-0.0685264607887559,0.0685264607887559,55.0,53.0,-2.0
Tasikmalaya,Farmer,High,0.4488451316443119,0.1960909090909091,0.0065573770491803,lhs_component_flood,Flood scenario,0.2651268421924157,-0.18371828945189617,0.18371828945189617,56.0,67.0,11.0
Karawang,Farmer,Medium,0.4415526729559748,0.102877358490566,1.0,lhs_component_flood,Flood scenario,0.36651467505241075,-0.07503799790356402,0.07503799790356402,57.0,56.0,-1.0
Garut,Farmer,Medium,0.4275163767243685,0.28875,0.3949554339103519,lhs_component_flood,Flood scenario,0.34779961341026905,-0.07971676331409944,0.07971676331409944,58.0,58.0,0.0
Subang,Wholesaler,Medium,0.4004920462051609,0.1629761904761904,0.3641466525278,lhs_component_flood,Flood scenario,0.31176717271799226,-0.08872487348716862,0.08872487348716862,59.0,63.0,4.0
Subang,Farmer,Medium,0.3913794920926068,0.156525974025974,0.3641466525278,lhs_component_flood,Flood scenario,0.29961710056792007,-0.09176239152468674,0.09176239152468674,60.0,65.0,5.0
Garut,Rice Miller,Low,0.3904851267243685,0.4339583333333333,0.3949554339103519,lhs_component_flood,Flood scenario,0.4095357245213801,0.01905059779701157,0.01905059779701157,61.0,50.0,-11.0
Indramayu,Rice Miller,Low,0.3646376491155902,0.4661764705882353,0.0559353146853146,lhs_component_flood,Flood scenario,0.375072421043009,0.010434771927418762,0.010434771927418762,62.0,54.0,-8.0
Indramayu,Farmer,Medium,0.3608522680276712,0.1577016129032258,0.0559353146853146,lhs_component_flood,Flood scenario,0.2589141351480059,-0.1019381328796653,0.1019381328796653,63.0,68.0,5.0
Karawang,Farmer,Low,0.3560849056603773,0.0943396226415094,1.0,lhs_component_flood,Flood scenario,0.3636687631027252,0.007583857442347908,0.007583857442347908,64.0,57.0,-7.0
Tasikmalaya,Farmer,Medium,0.3354549801291604,0.0758636363636363,0.0065573770491803,lhs_component_flood,Flood scenario,0.22505108461665813,-0.11040389551250229,0.11040389551250229,65.0,71.0,6.0
Subang,Rice Miller,Low,0.3265337128718275,0.1904761904761904,0.3641466525278,lhs_component_flood,Flood scenario,0.3242671727179922,-0.0022665401538352614,0.0022665401538352614,66.0,60.0,-6.0
Garut,Farmer,Low,0.3263386556359331,0.2173724489795918,0.3949554339103519,lhs_component_flood,Flood scenario,0.32400709640346625,-0.002331559232466862,0.002331559232466862,67.0,61.0,-6.0
Subang,Wholesaler,Low,0.3121289509670657,0.1428571428571428,0.3641466525278,lhs_component_flood,Flood scenario,0.30506082351164304,-0.007068127455422679,0.007068127455422679,68.0,64.0,-4.0
Subang,Farmer,Low,0.2958302496683643,0.1076623376623376,0.3641466525278,lhs_component_flood,Flood scenario,0.2833292217800413,-0.012501027888323024,0.012501027888323024,69.0,66.0,-3.0
Indramayu,Wholesaler,Low,0.2735232189685314,0.11171875,0.0559353146853146,lhs_component_flood,Flood scenario,0.25358651418026396,-0.019936704788267423,0.019936704788267423,70.0,69.0,-1.0
Indramayu,Farmer,Low,0.2661479669524024,0.1122177419354838,0.0559353146853146,lhs_component_flood,Flood scenario,0.24375284482542517,-0.022395122126977224,0.022395122126977224,71.0,70.0,-1.0
