actor,region,n_x,median_vulnerability_score,mean_vulnerability_score,high_vulnerability_share,median_rc,negative_margin_share,flood_risk_label,n_y,mean_flood_probability,median_flood_probability,mean_pressure,hazard_score,flood_logistics_priority_score,priority_label
Retail,Tasikmalaya,28,0.8018549105330787,0.8043359611233335,100.0,0.4955836128928828,100.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5332335155044974,High Priority
Retail,Karawang,16,0.7944989058152494,0.7994174029694746,100.0,0.49424232122901046,100.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5283417723671409,High Priority
Retail,Subang,19,0.7917760543830493,0.7833704398303315,94.73684210526315,0.5769230769230769,94.73684210526315,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5265310761647278,High Priority
Retail,Garut,23,0.7638764805121575,0.7312131702604334,91.30434782608695,0.5737704918032787,91.30434782608695,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5079778595405847,High Priority
Wholesaler,Garut,25,0.7466194314074682,0.6603574680808574,72.0,0.9263157894736842,72.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4965019218859664,High Priority
Wholesaler,Karawang,14,0.7269720558926281,0.5874048911373606,57.14285714285714,0.9822911796596008,57.14285714285714,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.48343641716859775,High Priority
Rice Miller,Karawang,14,0.7220322803777846,0.6651659245118486,71.42857142857143,0.9396008230666616,71.42857142857143,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.48015146645122675,High Priority
Middlemen,Tasikmalaya,29,0.7217248439200352,0.6905677764147836,79.3103448275862,0.7715538236726741,79.3103448275862,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4799470212068234,High Priority
Middlemen,Garut,24,0.7059728896751795,0.699413606549601,91.66666666666666,0.7364995830630965,91.66666666666666,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.46947197163399434,High Priority
Middlemen,Indramayu,16,0.6738294333363596,0.4684161297583363,56.25,0.9196469087821688,56.25,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4480965731686791,High Priority
Middlemen,Karawang,14,0.6056931317366535,0.5678696431687119,50.0,0.9835763528765786,50.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4027859326048746,Moderate Priority
Middlemen,Subang,21,0.4963104672376959,0.49192882387449105,42.857142857142854,1.0841291496134606,42.857142857142854,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.3300464607130678,Moderate Priority
Rice Miller,Tasikmalaya,29,0.4395166429635765,0.4755710211038437,27.586206896551722,1.076032065116006,27.586206896551722,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.2922785675707784,Moderate Priority
