flood_scenario,region,region_key,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,median_historical_flood_exposure_score,median_effective_cost_shock_pct,stress_priority_signal
Medium,Indramayu,INDRAMAYU,Rice Miller,17,0.5294117647058824,0.47058823529411764,-5379278.3592508435,1.028345717168585,0.10643826754943103,Fails Under Scenario,Low Vulnerability,0.0559353146853146,0.1508390297202797,High
Medium,Indramayu,INDRAMAYU,Wholesaler,16,0.125,0.875,76527005.00437064,0.9519124348102971,0.17285353535353537,Survives Scenario,Low Vulnerability,0.0559353146853146,0.1508390297202797,Manageable
Medium,Karawang,KARAWANG,Farmer,53,0.09433962264150944,0.9056603773584906,38141650.0,0.5619411764705883,0.5176470588235295,Survives Scenario,Low Vulnerability,1.0,0.165,Manageable
Medium,Karawang,KARAWANG,Middlemen,14,1.0,0.0,-9391250.0,1.1857258207070709,-0.017790404040404044,Fails Under Scenario,Medium Vulnerability,1.0,0.165,Severe
Medium,Karawang,KARAWANG,Retail,16,1.0,0.0,-4041962.5,2.3571833333333334,-1.0233333333333334,Already Failed,High Vulnerability,1.0,0.165,Severe
Medium,Karawang,KARAWANG,Rice Miller,14,1.0,0.0,-19670224.476495735,1.2400292337487775,-0.06440277575002354,Already Failed,High Vulnerability,1.0,0.165,Severe
Medium,Karawang,KARAWANG,Wholesaler,14,0.7857142857142857,0.21428571428571427,-34339750.0,1.1860030283505156,-0.01802835051546392,Already Failed,High Vulnerability,1.0,0.165,Severe
Medium,Subang,SUBANG,Farmer,77,0.11688311688311688,0.8831168831168831,10289758.299970265,0.5876517349426426,0.4914141414141414,Survives Scenario,Low Vulnerability,0.3641466525278,0.15546219978791698,Manageable
Medium,Subang,SUBANG,Middlemen,21,0.5714285714285714,0.42857142857142855,-7844958.6110713035,1.065797557606388,0.0776006711409396,Already Failed,High Vulnerability,0.3641466525278,0.15546219978791698,High
Medium,Subang,SUBANG,Retail,19,1.0,0.0,-3355042.0988335423,2.002801146299056,-0.7333333333333333,Already Failed,High Vulnerability,0.3641466525278,0.15546219978791698,Severe
Medium,Subang,SUBANG,Rice Miller,21,0.19047619047619047,0.8095238095238095,46232669.86609271,0.8695638730269518,0.24743200323943196,Survives Scenario,Low Vulnerability,0.3641466525278,0.15546219978791698,Manageable
Medium,Subang,SUBANG,Wholesaler,21,0.14285714285714285,0.8571428571428571,52118906.85013758,0.7196577353930221,0.3771689497716895,Survives Scenario,Low Vulnerability,0.3641466525278,0.15546219978791698,Manageable
Medium,Tasikmalaya,TASIKMALAYA,Farmer,110,0.045454545454545456,0.9545454545454546,6343836.163934426,0.4834672738312083,0.5796296296296296,Survives Scenario,Low Vulnerability,0.0065573770491803,0.1500983606557377,Manageable
Medium,Tasikmalaya,TASIKMALAYA,Middlemen,29,1.0,0.0,-13817541.639344268,1.4906262212286805,-0.29608585858585856,Already Failed,High Vulnerability,0.0065573770491803,0.1500983606557377,Severe
Medium,Tasikmalaya,TASIKMALAYA,Retail,28,1.0,0.0,-3962407.9508196726,2.320802650273224,-1.0179166666666668,Already Failed,High Vulnerability,0.0065573770491803,0.1500983606557377,Severe
Medium,Tasikmalaya,TASIKMALAYA,Rice Miller,29,0.6896551724137931,0.3103448275862069,-2880622.35260871,1.068832795918351,0.07065966487514386,Fails Under Scenario,Medium Vulnerability,0.0065573770491803,0.1500983606557377,High
